time,frequency,confidence
0.000,260.663,0.781452
0.010,261.011,0.874992
0.020,261.124,0.902153
0.030,261.010,0.925449
0.040,261.012,0.939025
0.050,260.923,0.933294
0.060,260.723,0.942933
0.070,261.130,0.941949
0.080,261.064,0.940252
0.090,261.137,0.946379
0.100,261.035,0.941283
0.110,260.938,0.938012
0.120,261.182,0.946226
0.130,260.958,0.941522
0.140,261.065,0.947373
0.150,260.888,0.936619
0.160,260.865,0.938270
0.170,261.067,0.946029
0.180,260.874,0.941563
0.190,260.931,0.943479
0.200,260.831,0.940166
0.210,260.948,0.941627
0.220,261.002,0.946639
0.230,260.864,0.943322
0.240,260.752,0.944714
0.250,260.850,0.942112
0.260,260.886,0.941260
0.270,260.952,0.947864
0.280,260.916,0.946245
0.290,260.775,0.943485
0.300,261.041,0.948699
0.310,260.871,0.942750
0.320,260.901,0.946944
0.330,260.928,0.944994
0.340,260.801,0.941471
0.350,261.096,0.951202
0.360,260.915,0.945728
0.370,260.972,0.948264
0.380,260.892,0.943677
0.390,260.891,0.943711
0.400,261.047,0.950318
0.410,260.879,0.946366
0.420,260.898,0.944510
0.430,260.844,0.944443
0.440,260.915,0.944440
0.450,260.976,0.949947
0.460,260.934,0.948449
0.470,260.850,0.942372
0.480,261.023,0.949459
0.490,260.889,0.943735
0.500,260.923,0.948149
0.510,260.926,0.945557
0.520,260.811,0.942097
0.530,261.108,0.951593
0.540,260.900,0.944989
0.550,260.973,0.948947
0.560,260.909,0.944140
0.570,260.868,0.943681
0.580,261.027,0.949559
0.590,260.859,0.945270
0.600,260.911,0.945307
0.610,260.858,0.944032
0.620,260.942,0.945070
0.630,260.992,0.950658
0.640,260.943,0.948951
0.650,260.854,0.942617
0.660,260.988,0.948519
0.670,260.905,0.944149
0.680,260.910,0.947990
0.690,260.909,0.945711
0.700,260.814,0.942493
0.710,261.089,0.951288
0.720,260.897,0.944625
0.730,260.973,0.949754
0.740,260.922,0.945113
0.750,260.830,0.943860
0.760,261.023,0.949583
0.770,260.859,0.945052
0.780,260.910,0.945611
0.790,260.874,0.944522
0.800,260.944,0.944999
0.810,261.011,0.951011
0.820,260.919,0.948158
0.830,260.853,0.942563
0.840,260.953,0.947565
0.850,260.914,0.944620
0.860,260.930,0.948340
0.870,260.935,0.947168
0.880,260.824,0.942392
0.890,261.084,0.951242
0.900,260.893,0.944416
0.910,260.969,0.949846
0.920,260.930,0.945431
0.930,260.818,0.943830
0.940,261.022,0.949207
0.950,260.863,0.944761
0.960,260.919,0.946576
0.970,260.869,0.944104
0.980,260.939,0.945278
0.990,261.024,0.951207
1.000,260.903,0.947759
1.010,260.859,0.943014
1.020,260.907,0.946440
1.030,260.914,0.944425
1.040,260.949,0.948838
1.050,260.938,0.947567
1.060,260.852,0.943050
1.070,261.079,0.950724
1.080,260.882,0.944115
1.090,260.968,0.949712
1.100,260.937,0.945451
1.110,260.812,0.943219
1.120,261.043,0.950239
1.130,260.889,0.945262
1.140,260.924,0.947044
1.150,260.853,0.942825
1.160,260.907,0.944523
1.170,261.037,0.951116
1.180,260.894,0.947293
1.190,260.842,0.942488
1.200,260.880,0.945781
1.210,260.900,0.944017
1.220,260.968,0.949131
1.230,260.954,0.948422
1.240,260.862,0.942962
1.250,261.046,0.950298
1.260,260.874,0.943974
1.270,260.946,0.948984
1.280,260.947,0.946196
1.290,260.810,0.942698
1.300,261.074,0.951228
1.310,260.895,0.945191
1.320,260.951,0.948339
1.330,260.857,0.942851
1.340,260.884,0.944099
1.350,261.046,0.950768
1.360,260.893,0.947264
1.370,260.864,0.943381
1.380,260.849,0.945065
1.390,260.887,0.943610
1.400,260.982,0.949667
1.410,260.953,0.948843
1.420,260.871,0.942982
1.430,261.019,0.949909
1.440,260.872,0.943656
1.450,260.935,0.948795
1.460,260.934,0.945908
1.470,260.811,0.942791
1.480,261.094,0.951516
1.490,260.901,0.945228
1.500,260.964,0.949021
1.510,260.878,0.943817
1.520,260.872,0.944212
1.530,261.034,0.950269
1.540,260.880,0.946591
1.550,260.887,0.944309
1.560,260.836,0.944264
1.570,260.904,0.944113
1.580,260.993,0.950183
1.590,260.947,0.948854
1.600,260.861,0.942612
1.610,260.993,0.949083
1.620,260.886,0.943972
1.630,260.924,0.948646
1.640,260.916,0.945761
1.650,260.817,0.943009
1.660,261.094,0.951622
1.670,260.896,0.944315
1.680,260.965,0.949223
1.690,260.886,0.943989
1.700,260.850,0.944135
1.710,261.025,0.949845
1.720,260.867,0.945860
1.730,260.887,0.944491
1.740,260.855,0.944500
1.750,260.918,0.944395
1.760,261.001,0.950425
1.770,260.933,0.948482
1.780,260.860,0.942169
1.790,260.979,0.948573
1.800,260.909,0.944571
1.810,260.932,0.948710
1.820,260.917,0.946152
1.830,260.827,0.943228
1.840,261.092,0.951553
1.850,260.903,0.944665
1.860,260.955,0.949437
1.870,260.910,0.944700
1.880,260.830,0.944139
1.890,261.029,0.949939
1.900,260.867,0.945254
1.910,260.891,0.945051
1.920,260.861,0.944398
1.930,260.920,0.944587
1.940,261.008,0.950417
1.950,260.907,0.947826
1.960,260.867,0.942543
1.970,260.943,0.947607
1.980,260.909,0.944483
1.990,260.938,0.948606
2.000,260.929,0.947040
2.010,260.845,0.943754
2.020,261.089,0.951359
2.030,260.902,0.944649
2.040,260.945,0.949038
2.050,260.919,0.945457
2.060,260.819,0.943958
2.070,261.038,0.950046
2.080,260.885,0.945715
2.090,260.910,0.946176
2.100,260.864,0.944119
2.110,260.918,0.944816
2.120,261.026,0.950931
2.130,260.885,0.946959
2.140,260.854,0.943017
2.150,260.898,0.946190
2.160,260.908,0.944232
2.170,260.938,0.948394
2.180,260.914,0.947077
2.190,260.861,0.944060
2.200,261.070,0.950709
2.210,260.903,0.944566
2.220,260.947,0.948795
2.230,260.933,0.945835
2.240,260.824,0.943709
2.250,261.067,0.951047
2.260,260.886,0.945276
2.270,260.927,0.947355
2.280,260.867,0.943821
2.290,260.886,0.943978
2.300,261.053,0.950908
2.310,260.883,0.946830
2.320,260.875,0.943623
2.330,260.864,0.945294
2.340,260.893,0.943884
2.350,260.943,0.948600
2.360,260.921,0.947719
2.370,260.859,0.943791
2.380,261.038,0.950079
2.390,260.893,0.944206
2.400,260.934,0.948567
2.410,260.933,0.945892
2.420,260.816,0.942975
2.430,261.094,0.951617
2.440,260.889,0.945041
2.450,260.955,0.948295
2.460,260.885,0.944250
2.470,260.874,0.943719
2.480,261.047,0.950320
2.490,260.884,0.946909
2.500,260.909,0.944822
2.510,260.845,0.944364
2.520,260.897,0.944025
2.530,260.950,0.949111
2.540,260.922,0.947871
2.550,260.855,0.943290
2.560,261.010,0.949304
2.570,260.900,0.944126
2.580,260.938,0.948674
2.590,260.920,0.945698
2.600,260.812,0.942624
2.610,261.102,0.951491
2.620,260.889,0.944504
2.630,260.961,0.948638
2.640,260.910,0.944792
2.650,260.854,0.943393
2.660,261.043,0.950158
2.670,260.879,0.946461
2.680,260.911,0.944878
2.690,260.843,0.943573
2.700,260.907,0.943996
2.710,260.966,0.949677
2.720,260.926,0.948139
2.730,260.857,0.942983
2.740,260.985,0.948295
2.750,260.928,0.944994
2.760,260.930,0.948488
2.770,260.915,0.945841
2.780,260.808,0.942237
2.790,261.090,0.951428
2.800,260.886,0.944043
2.810,260.956,0.948953
2.820,260.927,0.945088
2.830,260.831,0.943275
2.840,261.039,0.949856
2.850,260.876,0.945850
2.860,260.912,0.945024
2.870,260.855,0.943518
2.880,260.923,0.944144
2.890,260.984,0.950114
2.900,260.915,0.947774
2.910,260.864,0.942903
2.920,260.961,0.947478
2.930,260.950,0.945537
2.940,260.942,0.948707
2.950,260.938,0.947040
2.960,260.810,0.941872
2.970,261.088,0.951285
2.980,260.887,0.944031
2.990,260.957,0.949077
3.000,260.934,0.945293
3.010,260.815,0.943185
3.020,261.038,0.949697
3.030,260.883,0.945645
3.040,260.913,0.945407
3.050,260.856,0.943229
3.060,260.927,0.944599
3.070,260.993,0.950073
3.080,260.895,0.947025
3.090,260.862,0.942825
3.100,260.923,0.946460
3.110,260.940,0.945253
3.120,260.960,0.949169
3.130,260.940,0.947549
3.140,260.832,0.942405
3.150,261.093,0.951308
3.160,260.882,0.943997
3.170,260.954,0.948876
3.180,260.926,0.945287
3.190,260.814,0.943346
3.200,261.054,0.950581
3.210,260.901,0.946074
3.220,260.912,0.946477
3.230,260.850,0.943249
3.240,260.902,0.944346
3.250,261.040,0.951084
3.260,260.895,0.947192
3.270,260.857,0.943145
3.280,260.886,0.945960
3.290,260.942,0.945387
3.300,260.971,0.949325
3.310,260.933,0.947930
3.320,260.829,0.941766
3.330,261.064,0.950425
3.340,260.881,0.943752
3.350,260.939,0.948256
3.360,260.955,0.946131
3.370,260.813,0.942391
3.380,261.089,0.951579
3.390,260.906,0.945715
3.400,260.936,0.947103
3.410,260.857,0.942576
3.420,260.885,0.943384
3.430,261.034,0.950132
3.440,260.886,0.946522
3.450,260.886,0.944111
3.460,260.867,0.945133
3.470,260.928,0.944808
3.480,260.977,0.949789
3.490,260.928,0.948048
3.500,260.848,0.942395
3.510,261.035,0.949758
3.520,260.884,0.943864
3.530,260.930,0.948137
3.540,260.946,0.945840
3.550,260.817,0.942474
3.560,261.106,0.951731
3.570,260.900,0.945287
3.580,260.959,0.948187
3.590,260.884,0.943447
3.600,260.878,0.943586
3.610,261.027,0.949731
3.620,260.876,0.946006
3.630,260.915,0.945165
3.640,260.854,0.944343
3.650,260.931,0.944879
3.660,260.982,0.950284
3.670,260.930,0.948485
3.680,260.840,0.942170
3.690,261.008,0.948921
3.700,260.890,0.943865
3.710,260.933,0.948592
3.720,260.936,0.945924
3.730,260.822,0.942436
3.740,261.099,0.951520
3.750,260.895,0.944695
3.760,260.963,0.948876
3.770,260.899,0.943924
3.780,260.856,0.943510
3.790,261.030,0.949597
3.800,260.866,0.945386
3.810,260.923,0.945777
3.820,260.869,0.944105
3.830,260.940,0.944831
3.840,260.988,0.950639
3.850,260.936,0.949015
3.860,260.890,0.944191
3.870,261.006,0.949262
3.880,260.973,0.946922
3.890,260.983,0.949947
3.900,261.002,0.948148
3.910,260.911,0.945294
3.920,261.129,0.952830
3.930,260.959,0.946156
3.940,261.038,0.951331
3.950,261.016,0.947310
3.960,260.921,0.946844
3.970,261.060,0.947304
3.980,261.202,0.927163
3.990,261.987,0.855123
4.000,263.614,0.682577
