time,frequency,confidence
0.000,32.695,0.058005
0.010,65.155,0.422634
0.020,65.378,0.862945
0.030,65.289,0.926138
0.040,65.333,0.938524
0.050,65.299,0.924422
0.060,65.143,0.925176
0.070,65.232,0.932574
0.080,65.374,0.930570
0.090,65.308,0.934350
0.100,65.247,0.932353
0.110,65.239,0.926316
0.120,65.227,0.936852
0.130,65.340,0.941283
0.140,65.259,0.932749
0.150,65.245,0.941947
0.160,65.271,0.940238
0.170,65.173,0.918257
0.180,65.317,0.943903
0.190,65.323,0.946802
0.200,65.150,0.929555
0.210,65.290,0.940160
0.220,65.318,0.936358
0.230,65.221,0.934179
0.240,65.251,0.943743
0.250,65.242,0.932694
0.260,65.263,0.935912
0.270,65.319,0.944097
0.280,65.187,0.925443
0.290,65.203,0.938552
0.300,65.318,0.947832
0.310,65.258,0.932826
0.320,65.188,0.934805
0.330,65.237,0.936006
0.340,65.330,0.937130
0.350,65.292,0.943211
0.360,65.253,0.935136
0.370,65.213,0.932115
0.380,65.288,0.943077
0.390,65.381,0.946573
0.400,65.219,0.936366
0.410,65.213,0.940837
0.420,65.312,0.944428
0.430,65.229,0.922709
0.440,65.298,0.946900
0.450,65.273,0.942780
0.460,65.113,0.925840
0.470,65.336,0.946036
0.480,65.300,0.939400
0.490,65.146,0.924243
0.500,65.227,0.939470
0.510,65.288,0.930839
0.520,65.232,0.931072
0.530,65.227,0.933936
0.540,65.206,0.923847
0.550,65.288,0.940628
0.560,65.381,0.945844
0.570,65.221,0.920606
0.580,65.130,0.927006
0.590,65.280,0.938438
0.600,65.433,0.928436
0.610,65.316,0.937886
0.620,65.201,0.924972
0.630,65.200,0.913132
0.640,65.299,0.938344
0.650,65.373,0.940813
0.660,65.255,0.931373
0.670,65.213,0.937329
0.680,65.341,0.939574
0.690,65.231,0.922090
0.700,65.191,0.923313
0.710,65.281,0.933698
0.720,65.288,0.926124
0.730,65.344,0.942960
0.740,65.132,0.919461
0.750,65.131,0.909956
0.760,65.304,0.942901
0.770,65.387,0.933176
0.780,65.235,0.924610
0.790,65.149,0.934978
0.800,65.184,0.909831
0.810,65.292,0.938202
0.820,65.321,0.942103
0.830,65.183,0.918759
0.840,65.153,0.926407
0.850,65.258,0.936301
0.860,65.270,0.912931
0.870,65.141,0.926650
0.880,65.265,0.933219
0.890,65.326,0.926270
0.900,65.188,0.921923
0.910,65.185,0.924590
0.920,65.149,0.910845
0.930,65.267,0.939995
0.940,65.324,0.941441
0.950,65.126,0.911474
0.960,65.134,0.925744
0.970,65.280,0.938754
0.980,65.219,0.918166
0.990,65.175,0.920031
1.000,65.101,0.912198
1.010,65.184,0.894987
1.020,65.349,0.946449
1.030,65.206,0.900786
1.040,65.069,0.906722
1.050,65.244,0.919461
1.060,65.335,0.915677
1.070,65.236,0.927692
1.080,65.198,0.904497
1.090,65.176,0.898807
1.100,65.347,0.926291
1.110,65.313,0.929664
1.120,65.244,0.922004
1.130,65.170,0.922321
1.140,65.219,0.931545
1.150,65.341,0.937836
1.160,65.329,0.938872
1.170,65.305,0.943045
1.180,65.170,0.926878
1.190,65.188,0.939384
1.200,65.252,0.938872
1.210,65.200,0.921291
1.220,65.282,0.947625
1.230,65.260,0.944418
1.240,65.135,0.926060
1.250,65.305,0.948249
1.260,65.197,0.936796
1.270,65.124,0.927388
1.280,65.280,0.950046
1.290,65.260,0.936481
1.300,65.165,0.926271
1.310,65.211,0.942035
1.320,65.199,0.936914
1.330,65.186,0.938749
1.340,65.241,0.937118
1.350,65.220,0.925080
1.360,65.246,0.934091
1.370,65.277,0.942100
1.380,65.250,0.927672
1.390,65.149,0.921999
1.400,65.160,0.917044
1.410,65.314,0.923036
1.420,65.284,0.937178
1.430,65.273,0.932214
1.440,65.176,0.920405
1.450,65.181,0.919997
1.460,65.300,0.920441
1.470,65.332,0.907312
1.480,65.244,0.902797
1.490,65.166,0.875335
1.500,65.119,0.701783
1.510,65.407,0.684128
1.520,65.347,0.730013
1.530,65.128,0.682828
1.540,65.000,0.715138
1.550,65.204,0.646899
1.560,65.538,0.752845
1.570,65.447,0.725598
1.580,65.154,0.700945
1.590,65.159,0.750850
1.600,65.392,0.551289
